full_text,translated_text,sentimen
daerah2 susah ditemui alasan pedagang mau pake qris dana masuk rekening realtime alias nunggu besok gw sdh males bawa cash byk2 lbh suka cashless,"areas are difficult to find the reason traders want to use fund qris entering realtime accounts, aka waiting for tomorrow, i'm lazy to bring cash by more than cashless",Negatif
ih keren yang ide kontennya salut,ih cool whose content ideas salute,Positif
usul donguang kertas 2000 diganti desainnya mirip sama 50 ribukan pusing,proposal and 2000 banknotes are replaced with 50 thousand dizziness,Netral
takutnya iri negara takut hack ayo indonesia siapkan keamanan yang aman pokonya soalnya di pake negara,afraid that the country is afraid of hacking let's prepare security that is safe,Negatif
pembayaran qris mempersulit mempersulit nabung,qris payment makes it difficult to save,Negatif
kris mendunialah bawa nama indonesia,kris meant to bring the name of indonesia,Netral
keren qris semoga inovasiinovasi lagi yah bi,"cool qris, hopefully innovation again",Positif
yang panas nihh,the hot one,Positif
gawat donal bebek tambah tantrum kl tau,donal duck duck add tantrum ky you know,Netral
smga arab biar mudah org2 ibadah kesana,all arabic to make it easy for people to worship there,Positif
nihao kunaon anying,nihao kunaon anying,Netral
anjay mantap slebew,anjay is great,Positif
trump benci,trump hates,Netral
minus qris bank indonesia bikin boros oy,minus qris bank indonesia makes wasteful oy,Negatif
keren,cool,Positif
non tunai bayarnya kasir g bisa kak bisanya qris hanya melongo nahan ketawa,non -cash paying cashier g can be usually qris only gawking,Negatif
customerku nyebutnya kyuris tak kasih tau qris dek krisssss eh kesel pernah datang,"my customer calls kyuris, i don't tell qris, krisssss eh, ever coming",Netral
bangga akutuh,proud academic,Positif
selamat sore admin bank indonesiaperkenalkan saiful ramadhan sebelumny ada laporan Bank Indonesia via call cs email dangan nomor laporan disini bukan membahas pelaporan lebih ucapkan terimakasih meski nominal pelaporan kecilpihak team merespon menjelaskan syarat2 langkah saja lakukan ntah kuper ntah mmg semuanya dilayani permslhan sbnrnya tuntas disini saya rakyat kuueecccil sopir travel yang nyopirin armada lain merasa dihargai sekali terimakasih,"good evening, the admin of bank indonesia, introduce saiful ramadhan, there was a report of bank indonesia via call cs e -mail with the report number here, not to discuss more, thank you, even though the nominal reporting of the team was the first time, i was able",Positif
bank indonesia lang tanggapan salah,bank indonesia lang's false response,Negatif
abdlrhmn ghaza jepang mun jajan make qr engke,abdlrhmn japanese ghaza mun snacks make qr engke,Netral
miris liat kredit bank indonesia sa dipakai kata sandi kalau kecurian disana,sad to see bank credit indonesia sa use a password if the stolen there,Negatif
keren semangat bi,cool bi's spirit,Positif
indonesia ditantangin peraturan alam dibuat dilanggar gertakannya bebek oren,indonesia is challenged by the natural regulations made violated the oren duck bluff,Positif
makin jago entar menghamburhamburkan duit,the more good it will be wandering the money,Positif
indonesia tiap jutaan umroh kalau g arab orgindonesiadi arab kebingungan bayar bank,indonesia every millions of umrah if g arab orgindonesiadi arabs are confused about paying banks,Negatif
ahh qris tap apple pay lah nih qris tap kerjasama sama apple pay dukung,"ahh qris tap apple pay, here qris tap cooperation with apple pay support",Netral
paten kelen paten semua kelen pajakkan hebat kali ah kek kelen punya indonesia semua hidup masyarakat kelen tau,patent kenten patent all keten taxes great times ah kek kenjen has indonesia all lives the people of the community you know,Positif
mantap Bank Indonesia maju omongan amerika anggep kentut bau sesaat doank,steady bank indonesia advanced american talking to fart the smell for a moment,Positif
mantap jiwa qris mendunia weh,steady soul qris worldwide weh,Positif
maju qris,forward qris,Netral
ga sabar nyobain china sama jepang pake qris msmile,can't wait for china with japan using qris msmile,Netral
trump makin demam,trump is getting more fever,Positif
tidak disukai trump,trump disliked,Negatif
keren semoga di kecam ama negara xx,cool hopefully in the country with the country xx,Positif
qris is the best semoga berkah aamiin,"qris is the best, hopefully aamiin blessing",Positif
lagu,song,Netral
yakin tiap tersedia awal sangat baik,sure each is very good beginning,Positif
nahkan enak tidak perlu money changer,not delivery do not need money changer,Netral
kereeen,kereeen,Netral
memudahkan bertransaksi luar negeri,facilitate foreign transactions,Negatif
asli china qris,original china qris,Positif
keren kali,cool times,Positif
namanya qris wibuuu,his name is qris wibuuu,Netral
gampang tinggal sananya,easy to stay there,Positif
makin makin,more and more,Positif
sugoi desuka,sugoi desuka,Netral
berarti mata uangnya langsung automatis terkoneksi mata uang negara pakai quirs,means that the currency is immediately automatically connected to the country's currency using quires,Netral
bahasa jepang qris tadi oyakoso,japanese qris earlier oyakoso,Netral
brunei min,brunei min,Netral
cepat kuasai asia indonesia,fast to master asia indonesia,Positif
bayar taxi sg pake qris real helpful tidak usah tuker uang,pay taxi sg using qris real helpful don't have to exchange money,Positif
menyala qris kitaa,light our qris,Positif
mneyalaaaa,mneyalaaaa,Netral
keren loe bi,cool you bi,Positif
suka sistem dibawa Bank Indonesia pengalaman lalu nak bayar pakai qris sebuah buku menolak katanya lebih baik kalau bayar cash merugikan kalau qris,"likes the system to be brought by bank indonesia, then son to pay using qris a book refusing to say it is better if paying cash is detrimental if qris",Positif
qris di china apa jepang kurissu ygy,qris in china or japanese kurissu ygyy,Netral
menyala tuh indonesia,tuh indonesia,Netral
wah bangga bangetproduk indonesia menduniaqris btw mamarika ketar ketir ya,"wow, it is very proud that indonesian products are worldwide, btw mamarika is tightened",Positif
semua terobosan dibuat pemererintah 5 ini qris paling manteup,all the breakthroughs made by the 5th government are the most manteup,Positif
dg gblk masih umkm2 ngasih tambahan biaya 1rb kita bayar pake qris kan anj m,"with still, umkm2 gives an additional fee of 1 thousand, we pay using qris, right?",Positif
kerjasama bareng alipay,cooperation with alipay,Netral
perluas ke rusia,expand to russia,Netral
punya qrisnya tinggal tiket liburannya belom,"have the qris, just have a vacation ticket not yet",Netral
akkkkk ke jpn bisa bayar pake qr brrti yaaa gausah tukar uang merata di kota besar ajaaa,"akkkkk to jpn can pay using qr, yeah, you don't have to exchange money evenly in a big city",Netral
korea min,korea min,Netral
saking gebrakan beritaindonesiaiya aja ada dulu semoga terealisasi berhenti ditengah,"i was so broken on the news, there was a first time, hopefully it will be realized in the middle",Negatif
qris make it simple for everyday,qris make it simple for everyday,Negatif
apple pay tidak ka,apple pay no ka,Netral
eh akhir mei kmrn selama penangkl bisa pake qris pake mbca kurs ratenya bagus,"eh, at the end of may, during the capture, you can use qris using a good mbca rate",Positif
kmrn2 thai bs qris,kmrn2 thai bs qris,Netral
sdh otw,sdh otw,Netral
alhamdulillah yang dipamerin keren bi,"alhamdulillah, the one who was put on cool bi",Positif
rikwes arab biar usah nuker real,arabic rikues so you can exchange real,Positif
maulidia ntabs,maulidia ntabs,Netral
bank tar ya bayar pake emas digital kan bank emas entar,"bank later, pay for digital gold and gold bank later",Netral
brunei ada euy,brunei is there,Netral
bangga,proud,Positif
kerennnnnnnnnn,kerennnnnnnnnn,Netral
terima kasih yaaa saudi arabia dong,"thank you, saudi arabia, please",Netral
makanya amerika ngamuk kita pake qris,that's why america is rampaging we use qris,Netral
kerennn,kerennn,Netral
bisa mekkah madinah semoga segera bi,"can mecca madinah, hopefully soon bi",Netral
waaah kereen,wow cool,Positif
mantul bi,mantul bi,Netral
waduhhh enakk qris,"ouch, delicious qris",Positif
amerika kalah critaa,america loses critaa,Negatif
so proud,so proud,Positif
ekspansi besarbesaran btw qr bisa dipake warga lokal sana ga,the big expansion of the amount of btw qr can be used by local residents and not,Netral
keren,cool,Positif
adminnya ka lebih murah kursnya kalau pake qris,the admin is cheaper the exchange rate if you use qris,Netral
as ketar ketir punya negaradia yang ngatur,as ketar ketir has a regulating negaradia,Netral
keren,cool,Positif
niceee bank indonesia,niceee bank indonesia,Netral
kereeeeen,kereeeeen,Netral
mendunia,worldwide,Netral
neng ndesone nyong nyebutke kiris pak Bank Indonesia ora papa,neng ndesone nyong said kiris pak bank indonesia ora papa,Netral
tim bilang bayar pake qu ar,the team said i paid using quar,Netral
keren bgttttt,really cool,Positif
akhirnya kalau china bisa pake qris perlu download alipay,"finally, if china can use qris, you need to download alipay",Netral
keren bgttttt prouddddd,cool bgttttt prouddddd,Positif
yeayyy,yeayyy,Netral
emang qris bacany ges buka kyuris anggap keren kita bawa keris kemana2,indeed qris bacany ges open kyuris think cool we bring a keris everywhere,Positif
mantapp go go bi,mantapp go go bi,Netral
qris,qris,Netral
keren bangeet bi,cool bangeet bi,Positif
kelass,class,Netral
asli qris membantu saldo gabisa ditarik butuh barang tsb tinggal cari yang pake qris,"original qris helps the balance can't be withdrawn, it needs the item, just look for the one using the qris",Positif
tutorial 1t 1 malam,tutorial 1t 1 night,Netral
semangat Bank Indonesia lagi produk berkualitas internasional,the spirit of bank indonesia again international quality products,Netral
enak make qris beli barang online tinggal ss qrisnya ke mbanking jajan es sama cek plagiasi online tinggal make qris,delicious make qris buy items online just ss qrisnya to manking snacks ice and check plagiarism online just make qris,Positif
qris ntar ketemuan korea yuuk asyiiik,qris later the cool korean meeting,Positif
vietnam blm,vietnam blm,Netral
bangga menggunakan qris,proud to use qris,Positif
qris mantap,qris is great,Positif
arab saudi kak,saudi arabia sis,Netral
makin boros inimah,the more wasteful this is,Positif
mantaap,mantaap,Netral
seluruh asean,all asean,Netral
semoga arab saudi bayar pake qris yang umroh haji lebih enak belanja,hopefully saudi arabia pays using qris that hajj pilgrims will be more comfortable shopping,Positif
semoga blom adu nulkir,hopefully there is no nuclear,Netral
ngeri sekali bank indonesia gebrakannya lov,"very horrified by bank indonesia, the breakthroughs",Positif
taiwan please,taiwan please,Netral
semoga bisa amerika eropa pembayaran qris,hopefully it can be america european qris payment,Netral
gils keren bet,crazy cool bet,Negatif
kerenn bangettt,really cool,Positif
mastercard visa siap2 terjun bebas,mastercard visa ready to fall falls,Positif
next buat transportasi umum jangan bisa pake kartu doang,"next for public transportation, don't be able to use cards",Positif
wah keren kalau eropa bisa min,wow cool if europe can min,Positif
keren bgtmkasih pkoknya,"really cool, thanks anyway",Positif
bahaya kalau qris dipakai jerman ujung ujungnya disana kann ich mit qris bezahlen,"the danger if qris is used by germany, the edges there are ich mit qris bezahlen",Netral
malaysia kemarin sihh pake qris bni one tap pokok ny mempermudah,malaysia yesterday used qris bni one tap the main thing made it easier,Positif
aseekkk,aseekkk,Netral
keren qris,cool qris,Positif
wehh mantapp kapan liburannya,wih when the vacation,Netral
taiwan atuuuh disegerakan,taiwan or is rushed,Netral
bayar qris luar negeri bisa pake rupiah,pay qris abroad can use rupiah,Netral
inget guys qris qris kris,remember guys qris qris kris,Netral
aaaaa kerennn qris semakin mendunia,aaaaa kerennn qris increasingly worldwide,Netral
tinggal jln2,stay jln2,Netral
aaaaaawohoooooo,aaaaaawohooooooo,Netral
menyala qris,light qris,Positif
nice,nice,Positif
kris gais buka kyuris,kris gais opens kyuris,Netral
membara qris ku,burning my qris,Netral
kerenn,cool,Positif
dlu malay pake qris kaga usah nuker ringgit nuker seminggu ambil 130 an rm doang,dlu malay uses qris not to have a nuker ringgit nuker a week take 130 an rm only,Netral
kereeeeeen indonesiaku,kereeeeeen indonesiaku,Netral
nih shang haiaku shang september,here shang haiaku shang september,Netral
aaa bangga qris menduniaaa,aaa proud qris worldwide,Positif
china jepang ada penyebutan qris,japanese china there is a mention of qris,Netral
kereeeen,kereeeen,Netral
kena biaya kurs g,hit the exchange rate g,Netral
kereeeeen,kereeeeen,Netral
kerennn bangetttt,really cool,Positif
cinta cash diwarung i love qris dimall,love cash at warung i love qris at the mall,Positif
keren Bank Indonesia sekarang ikut tren fomo kai bank indonesia buat bangga garuda indonesia lewat masanya,cool bank indonesia now joins the fomo kai bank indonesia trend to be proud of garuda indonesia through its time,Positif
kerennnnn euy,kerennnnn euy,Netral
pgn nyebut qris kek aneh suka kepleset kyuris,pgn calls the strange qris like kyuris.,Negatif
dibalik carut marutnya negeri qris satu satunya bikin lega,behind the chaos,Negatif
ihh kerenn,ig is cool,Positif
trump makin tantrum,trump is getting tantrum,Netral
yeaaay makin mempermudah traveling malaysia,yeaaay makes it easier to travel malaysia,Netral
tinggal scan kah ada pengaturandaftar,just scan there is a regulation,Netral
penyebutannyaaaaa qris k r i s sekali qris k r i s yaaaaaaaaaa inget qris k r i s,the mention is qris k r i s once qris k r i s yaaaaaaaaa remember qris k r i s s,Netral
aku dikode suru bangkok,i coded suru bangkok,Netral
menyalaasaa,turning,Netral
go internasional,go international,Netral
semoga berkelanjutan,hopefully,Netral
saram,sin,Netral
qr code bca bisa sejak lama,qr code bca can for a long time,Negatif
gasss teroosss minnn bertuyul dg qris tiba2 uang habess dipikir2 jajanjalan2 min penting qris jayajaya,gasss terosss minn bertuyul with qris suddenly money running to think about the jajanjalan2 min important qris jayajaya,Positif
keren produkindonesiamendunia,cool indonesian products worldwide,Positif
mantap,excellent,Positif
kemarin sg full pake qris jajan hawker center,"yesterday, i was full using qris hawker center snacks",Positif
gausah pake alipay ya,don't have to use alipay,Netral
cakeeep,cakeeep,Netral
awal saya kaget tumben indonesia pake adat melayu,in the beginning i was shocked to tumben indonesia using malay custom,Negatif
terbaikk,best,Positif
ngeriiii,horrified,Netral
apasihhhhhhhhhhh generasi qris like,apasihhhhhhhhhhh generation qris like,Netral
kaa bayar pake qris boleh ka pake kyuris silahkan scan disini diperjelas sama kakanya kyuris pdhal udah nyebutnya kris,"kaa paying using qris, you can use kyuris, please scan it here clarified by the kyuris pdhal's brother already call it kris",Netral
pejuang qris mendunia skrg,qris fighters worldwide now,Netral
malay namanya doit,malay name is doit,Netral
terlalu mencampuri privasi masyarakat memaksa masyarakat sistem payment id terlalu sibuk memantau keuangan masyarakat jangan karna membaca skema baru membuat aturan pajak akan limpahkan masyarakat membebankan semua itu kepada rakyat kalau mau memantau transaksi mencurigakan fokus sama rekening pejabat2 kotor negara dan rekening2 perusahaan serakah jangan kalian usik masyarakat,too interfering in the privacy of the community forcing the public the payment id system is too busy monitoring the finances of the public not because reading the new scheme to make the tax regulations will delegate the community to impose all of that to the people if they want to monitor suspicious transactions with the focus of the accounts of dirty officials and the company's greedy accounts do not go on to the public,Negatif
badayyy truss qris indonesia,badayyy truss qris indonesia,Netral
next arab saudi,next saudi arabia,Netral
asia unite,asia unite,Netral
saudi min,saudi min,Netral
bi bisa ganti namanya jangan qris soalnya tiap payment inget mantan namanya kris,"bi can change his name, don't qris because every payment remember the ex -name is kris",Netral
konsepnya diluar negeri tetap pakai rupiah menyesuaikan,the concept abroad still uses rupiah adjusting,Netral
disuruh diem ama amrik ngecehin menyala qris kuuu,told to keep quiet ama amrik gaining on qris kuuu,Netral
qrisss,qrisss,Netral
kereennn,kereennn,Netral
arab min,arab min,Netral
insyaallah september 2025 mau singapore alhamdulillah klu bisa pake qris,insyaallah september 2025 want singapore alhamdulillah if you can use qris,Netral
kan qris bisa langsung mbanking milik indonesia kah ngg perlu rekening visa gimana,"qris can directly be owned by indonesia, how do you need a visa account",Positif
keren bangettt woiii,really cool woiii,Positif
mantap jajan takoyaki isi sosis jepang sekarang qris xixixi,steady snack takoyaki contents of japanese sausages now qris xixixi,Positif
mamarika,mamarika,Netral
trumpeish nerf lah sikit,trumpeish nerf is a little,Negatif
mana tinggal make qiris bejir mantap negaraku,where just use qris bjir steady my country,Positif
amerika geramnya,america is furious,Netral
geram nyoo,growled nyoo,Netral
amerika,american,Netral
beli icimang goseng cod,buy icimang goseng cod,Netral
kabupaten kurang pengetahuan qris jir,regency lack of qris jir knowledge,Netral
awalnya mempermudah pembayaran negeri eh sampe luar negeri gg lah fitur,"initially facilitated the payment of the country eh until abroad, the features",Netral
simple bikin admin bumi marah,simple make the earth admin angry,Negatif
beli my bini pake qris tidak,buy my chant using qris or not,Netral
amerika geramnye,america is furious,Netral
dibanggain indonesia budaya positif makanan keindahan alam indomie qris itu,"based on indonesia, the positive culture of the natural beauty of indomie qris",Positif
bakal anime scene make qris penasaran,will anime scene make qris curious,Negatif
akhirnya berita bikin rakyat senang,finally the news makes people happy,Positif
kalau bayar qris jepang pake yen rupiah uang rupiah diganti yen otomatis,"if you pay the japanese qris using the rupiah rupiah, the rupiah is replaced by the automatic yen",Netral
harusnya bangga qris mendunia dipake belahan negara kan qris berasal indonesia,"i should be proud of qris worldwide in the hemisphere of the country, qris originating from indonesia",Positif
sederhana bagian barat suka,simple western part likes,Netral
kartu suika adios mazeeeh,adios maszeh suica card,Netral
17 agustus diindonesia17 agustus jepang,august 17 in indonesia august 17 japan,Netral
tng malaysia lama bende,tng malaysia long bende,Negatif
anjay mantap nyoo tunggu gua jepang eh baru inget mata minus gabisa kesana,anjay great nyoo wait for me japan eh just remember the eyes minus can't go there,Positif
pls jangan hilangan cash di daerah ku cashless woe,pls do not lose cash in my area cashless woe,Netral
yeyy akhirnyaa,yeyy finally,Netral
mines bikin makin boncos,mines makes it even more boncos,Positif
nah kan sekarang gampang co,well now it's easy co co,Positif
tanya qris dipake luar negeri berarti mata uang dipake ttp rupiah tergantung negaranya,"asked qris to use abroad, meaning the currency was used by the rupiah depending on the country",Netral
nilai mata uangnya masi sama ap ngak bg kalau pke qris antar negara,the value of the currency is still the same or not if you use qris between countries,Netral
amerika suka,america likes,Netral
mane adee qris punya malaysia lah qris ciptakan malaysia tahun 2019 fadil iskandar mule mule terkenal karne di pakai negare asean,"mane adee qris has malaysia, qris created malaysia in 2019 fadil iskandar mule mule is famous for being used by asean negare",Positif
qris punya indonesia,qris has indonesia,Netral
lah brarti transaksi pake nilai tukar dri rupiah yen apa fee tidak bakal gede,it means the transaction uses the exchange rate of the yen rupiah or fee will not be big,Netral
fanboxpixivpatreon,pixiv patreon fanbox,Netral
qr pake dana ga,qr use funds or not,Netral
sih seneng kan di indo,i am happy at indo,Positif
malaysia ketar ketir melihat,malaysia is tired of seeing,Negatif
belum merdeka bro,not yet independent bro,Netral
tanda tanda rupiah menguat,signs of rupiah strengthened,Netral
jepang kan stuck tahun 90an lebih suka cash boroboro teknologi qris kartu mastercardvisa kadang ditolak,japan is stuck in the 90s preferring cash boroboro qris technology mastercardvisa cards sometimes rejected,Netral
saham besok naik,the stock is up tomorrow,Netral
disini semakin mundur sana semakin maju,here the more back there the more advanced,Positif
mastercardvisa mulai ketar ketir,mastercardvisa starts ketar ketar,Netral
misal uang rupiah kalok scan qris jepang akan yen masuk,"for example, the rupiah money after the japanese qris scan will be entered",Netral
nih nyewa pemain pake gris,here hired players using qris,Netral
salah satu ciptaan pemerintah bikin bangga,one of the government's creations makes you proud,Positif
lagi rakyat 1 pemerintah 0,again the people 1 government 0,Netral
jujur qris lebih simpel bjir bahaya lengah dikit scan qris bayar tiba tiba duit sisa seket,"honestly, qris is more simple, the danger of being careless",Positif
indonesia,indonesia,Netral
amerika,american,Netral
icimangosen pake qris,ichiman gosen using qris,Netral
ngutang dlu,debt,Netral
amerika geram jir,america is furious,Netral
amerika geram,america is furious,Netral
horeee,hooray,Netral
target ngalahin visa,target to beat a visa,Netral
iyake dimalaysia merata yang tidak kenal,iyake dimalaysia is evenly not known,Netral
simple paman sam suka,simple uncle sam likes,Netral
tunggu patreon,wait for the patreon,Netral
langsung konversi dari rp jpy cuma rp rp jpy jpy,direct conversion from rp. jpy is only rp.,Positif
qris apaan,what is qris,Netral
malas ujungujungnya pakai ktp,lazy to use the ktp,Negatif
qris bacanya kurisu kalau disana,"qris read it, i was there if there",Netral
nyediain qr sama kek indonesia beda sistemnya,provide qr as well as indonesia's different systems,Netral
cek di anime warung kue rintaro ada barcode,check in the rintio cake stall anime there is a barcode,Netral
ke jepang dlu biar scan bisa pake scan dri jauh nnya,"to japan, so scan can use scanning from far away",Positif
punya temen dijepang auto cair inimah kalau tidak ad duit,"have a friend in japan auto liquid, if there is no money",Netral
30 panggilan terjawab donald trump,30 calls answered by donald trump,Netral
simple bikin visa mastercard ketar ketir,simple make a mastercard visa tatified,Netral
tinggal nyiapin duit kesananya,just prepare the money,Netral
bikinannnya simpel tapii top global 1 ekonomi panasd,make it simple but top global 1 hot economy,Positif
yang selalu minta hotspot random mau bayar pake qris,who always ask for a random hotspot want to pay using qris,Negatif
amerika sistem pembayaran jaman purbanya tauindonesiatetap pake qris,america payment system the triflesteness of the time is that indonesia still uses qris,Netral
gk perlu sewa lcbayar cashbisa pake qris,no need to rent lc pay cash can use qris,Netral
kena royalty tuh,too royalty,Netral
asik depan kesana,cool front there,Positif
cewe kaya mizuno yui babymetal,girls like mizuno yui babymetal,Netral
sederhana bikin om sam marah,simple makes om sam angry,Negatif
lebih mudah negara admin bumi seneng,easier state of bumi seneng admin,Netral
otw k jepang,otw k japan,Netral
berarti sekarang menginspirasi jepang yummy,means now inspired japan yummy,Netral
wihhh keren jepang im coming eh baru inget kaki gua panjang sebelah gabisa kesana,wihhh cool japanese im coming eh just remember my long foot,Positif
mahal biaya ke sana,expensive costs there,Negatif
trumpishhhh geramnyeee,trumpishhhh furious,Netral
ahirnya berita baik negara,finally the good news of the state,Positif
salah satu keunggulan my negara country,one of the advantages of my country country,Netral
perasaan jepang dlu punya serupa,japanese feelings have similar,Netral
berarti jajan ichimangosen pakai qris skrg,means ichiman gosen's snacks use qris now,Netral
keren sihbtw 1cwo hyper,"cool, tw 1 cwo hyper",Positif
untungnya dikita apaan,fortunately what is we,Positif
beli tenga pake qris,buy tenga using qris,Netral
lah enak doong sewa lc langsung qr,it's delicious doong rental lc directly qr,Positif
takut saldo makin cepat habis njir,afraid that the balance will run out faster njir,Negatif
qr,qr,Netral
china njir pengen kesana tidak tau cara pembayaran lewat qris china,"china njir wants to go there, don't know how to pay through qris china",Positif
trump ku naikin 1000,trump i raise 1000,Netral
kata temen gua langganan patreon sama pixiv tidak temen gua nanya,said my friend subscribed to patreon and pixiv not my friend asked,Netral
qris ada maksimal tidak transaksi,qris there is a maximum transaction,Netral
gass otw jepang,japanese gass otw,Netral
mamarika,mamarika,Netral
malaysia tngo boleh akses 50 negarasmua negara asean negara barat,malaysia tng may access 50 asean countries western countries,Netral
he he he hehehehheh hehehe hehehehehhe,he he heheheheh hehehe hehehehehehe,Netral
anjay,anjay,Netral
overpower jir,overpower jir,Netral
yee kite ade kemajuan,yee kite ade progress,Netral
jepang 2026,japan 2026,Netral
asekk gampang niehh,asekk is easy,Positif
wahh,wahh,Netral
berangkat ke japan,go to japan,Netral
amerika marah,america is angry,Negatif
akhirnya,finally,Netral
cahaya borong waifu,borong waifu light,Positif
qris kadang ngeleg terkirim tidak nyampe2,qris sometimes is sent not to arrive,Netral
pake qris diindo kan misal beli jajan jepang support qris bisa lgsg bayar pake qris gopay atau pake qris aplikasi e wallet terdaftar dijepang,"use qris diindo, for example, buy japanese snacks support qris, you can pay for qris gopay or using qris e wallet application registered in japan",Netral
tunggu anime,wait for anime,Netral
kira fee untukindonesiangga,approximately fee for indonesia,Negatif
kantin sekolahku pake qris,my school canteen uses qris,Netral
plss di warung pake qris gue males megang cash,plss in the stall using qris i'm lazy to hold cash,Negatif
tengah kekacauan berita baik,in the middle of good news chaos,Positif
qris kalau jepang nyebut kirisu,qris if japan calls kirisu,Netral
mk lu punya temen tinggal jepangwnj temen jepang ku bilek gw duit,"mk you have friends who live in japan, my japanese friend is bilek i money",Positif
yeay maid cafe bungkus enak,yeay maid cafes delicious wrap,Positif
pas sevel kasir bilang pake qris tunai,when the cashier sevel says using cash qris,Netral
setidak ee onok seng kenek banggakno ko negoro iki,at least ee onok zinc kenek banggakno ko negoro iki,Negatif
cantik bet di foto pengen jepang,beautiful bet in photos want japanese,Positif
dijepang aplikasinya bs qris apaan jir,in japan the application can be qris what jir,Netral
nice udah mulai kerja jepang lebih mudah transaksinya,nice has started to work japan more easily transactions,Positif
7 barusan coba,7 just tried,Netral
nooo chance nemu duit dijalan makin berkurang,nooo chance found money on the road to decrease,Netral
trumpt deeyy mana macamtu,trump where kind of,Positif
yeyyyy,yeyyyy,Netral
cobalah kelen sesekali pesen yuki kazama pake qris,try you to occasionally order yuki kazama using qris,Netral
kampung juga pake qris minggu kemaren cek kagak ada sekarang mau jajan tinggal scan doang,"the village also used qris last week, how come there isn't now you want to snack, just scan it",Netral
qris dibanggakan akal akalan prabowo biar tidak gaduh padahal aslinya abah anies punya proyek qris lebih awal,qris is proud of prabowo's mind so that it is not noisy even though the original abah anies has a qris project early,Positif
tidak fee admin oke soalnya sini pay pay icoca kartu lainya sama kaya qris ngga ada fee adminya,not fee admin okay because here is pay pay icoca other cards as well as qris there is no fee adma,Positif
qris ciptaan indonesia bro,qris created indonesian bro,Netral
sederhana trump suka,simple trump likes,Netral
membanggakan visa master card suka,boast the visa master card likes,Netral
cantik,beautiful,Positif
niat masuk tabungan nabung,intention to enter savings saving,Netral
mantapp tar di jepang tinggal pake qris gaperlu repot makasih presidenkuuu,steady tar in japan just use qris no need to bother thanks to my president,Positif
rate,rate,Netral
yg tengah siapa,who is the middle,Netral
horeeeeeeeee,horeeeeeeeee,Netral
alamak my kisah,alamak my story,Netral
q ris jaga datanya jangan bocor kaya pdn,"q ris take care of the data, don't leak like pdn",Netral
bentar china tunggu bank indonesia proses pengintegrasian komitmen di china,wait china wait for bank indonesia to integrated commitment in china,Netral
amerika senang denger brita inih,america is happy to hear this news,Positif
banggaa,proud,Positif
beli ramen supermarket pake qris mbak pke b jpan,buy ramen supermarket using qris not using b japanese b,Netral
caranya woi,how to do it,Netral
takut saldonya nyalur orang korup terusindonesiamakin disalahkan,afraid that the balance is to channel corrupt people and will be blamed,Negatif
godaan bertambah oknum tanah air mulai berulah,the temptation of increasing the person of the country began to act,Netral
tidak pixiv pakai qris,not pixiv using qris,Netral
saatnya menyelam fanza,it's time to dive fanza,Netral
akhirnya,finally,Netral
berarti pake qris bca ya,means using qris bca,Netral
berarti gajadi diban indo,means it doesn't become in indo tires,Netral
mendunia,worldwide,Netral
bangga dngn qris,proud with qris,Positif
tunggu ichiman gosen,wait for ichiman gosen,Netral
makin pengen jepang,more and more japanese,Positif
bayar lewat tunggu kiris,pay by waiting for kiris,Netral
sisi terang indonesia,indonesia's bright side,Positif
donaltrum marah,donald trump is angry,Negatif
keren apps,cool apps,Positif
salah 1 produk pemerintah paling berhasil membanggakan,one of the most successful government products,Positif
sederhana membuat elite global marah,simple makes the global elite angry,Negatif
akhirnya yang di banggain negara,"finally, what is proud of the country",Positif
amerika,american,Netral
lets goo qris mendunia,lets goo qris worldwide,Netral
semakin permudahkan semakin boros pengeluaran,the more easy the expenditure is extravagant,Positif
horeee,hooray,Netral
yoo yang di banggakan dari negara ini,yoo who was proud of this country,Positif
ge,ge,Netral
andai seluruh dunia pake pembayaran elektronik bakalan mudah transaksi ribet bawa hp doang qkwk,if the whole world uses electronic payments will easily be complicated transactions carry a cellphone only qkwk,Negatif
gw wajar sihorang jepang negara menemukan sistem qr code mereka awal niatnya melacak komponen kendaraan industri otomotif dulu susah cari,i am natural that japanese people found their qr code system the beginning of their intention to track the components of the automotive industry vehicle was difficult to find,Negatif
waww semakin mudah mengeluarkan duitt,www is easier to spend money,Netral
a,a,Netral
gwe jelekk,i'm ugly,Negatif
pertama scan adalah aplikasi shearit,pertamina scan is a shareit application,Netral
mamarika sepertinya negara butuh demokrasi,mamarika seems like the state needs democracy,Netral
ichiman gosen en makin praktis,ichiman gosen en more practical,Positif
patreon pixiv aim koming,patreon pixiv aim koming,Netral
jepang negara jarang pake cashless,japan state rarely uses cashless,Positif
pas wkwkwkwk,when wkwkwkwk,Netral
amerika ini bisa dibiarkan,america can be left,Netral
patreon pixiv fanbox disite datang,patreon pixiv fanbox disite comes,Netral
yesss oermudah kalo jalan jepanng egk perlu nuker mata uang,yesss oermant if the road jepanng egk needs a currency nuker,Netral
patreon pixiv dlsite,patreon pixiv dlsite,Netral
malaysia yang klaim qris film merah putih on fall tidak klaim,malaysia who claims qris red and white film on fall is not claimed,Netral
wibu lu semua,wibu you all,Netral
sederhana trump suka,simple trump likes,Netral
sederhana mamarika marah,simple mamarika angry,Negatif
